date,product,price
2026-04-12,大白菜,1.61
2026-04-13,大白菜,1.53
2026-04-14,大白菜,1.77
2026-04-15,大白菜,2.03
2026-04-16,大白菜,1.69
2026-04-17,大白菜,1.73
2026-04-18,大白菜,2.18
2026-04-19,大白菜,2.02
2026-04-20,大白菜,1.75
2026-04-21,大白菜,1.98
2026-04-22,大白菜,1.74
2026-04-23,大白菜,1.72
2026-04-24,大白菜,1.84
2026-04-25,大白菜,1.32
2026-04-26,大白菜,1.31
2026-04-27,大白菜,1.52
2026-04-28,大白菜,1.37
2026-04-29,大白菜,1.61
2026-04-30,大白菜,1.29
2026-05-01,大白菜,1.13
2026-05-02,大白菜,1.74
2026-05-03,大白菜,1.33
2026-05-04,大白菜,1.38
2026-05-05,大白菜,1.03
2026-05-06,大白菜,1.23
2026-05-07,大白菜,1.39
2026-05-08,大白菜,1.12
2026-05-09,大白菜,1.49
2026-05-10,大白菜,1.3
2026-05-11,大白菜,1.4
2026-05-12,大白菜,1.36
2026-05-13,大白菜,1.95
2026-05-14,大白菜,1.55
2026-05-15,大白菜,1.34
2026-05-16,大白菜,1.77
2026-05-17,大白菜,1.31
2026-05-18,大白菜,1.62
2026-05-19,大白菜,1.11
2026-05-20,大白菜,1.22
2026-05-21,大白菜,1.51
2026-05-22,大白菜,1.58
2026-05-23,大白菜,1.39
2026-05-24,大白菜,1.25
2026-05-25,大白菜,1.13
2026-05-26,大白菜,0.79
2026-05-27,大白菜,0.89
2026-05-28,大白菜,0.88
2026-05-29,大白菜,1.16
2026-05-30,大白菜,0.94
2026-05-31,大白菜,0.43
2026-06-01,大白菜,0.88
2026-06-02,大白菜,0.72
2026-06-03,大白菜,0.66
2026-06-04,大白菜,0.98
2026-06-05,大白菜,1.13
2026-06-06,大白菜,1.17
2026-06-07,大白菜,0.86
2026-06-08,大白菜,1.08
2026-06-09,大白菜,1.33
2026-06-10,大白菜,1.6
2026-06-11,大白菜,1.39
2026-06-12,大白菜,1.58
2026-06-13,大白菜,1.5
2026-06-14,大白菜,1.6
2026-06-15,大白菜,2.17
2026-06-16,大白菜,2.39
2026-06-17,大白菜,2.16
2026-06-18,大白菜,2.47
2026-06-19,大白菜,2.39
2026-06-20,大白菜,2.2
2026-06-21,大白菜,2.45
2026-06-22,大白菜,2.72
2026-06-23,大白菜,2.35
2026-06-24,大白菜,2.69
2026-06-25,大白菜,1.71
2026-06-26,大白菜,2.43
2026-06-27,大白菜,2.21
2026-06-28,大白菜,2.06
2026-06-29,大白菜,2.09
2026-06-30,大白菜,1.55
2026-07-01,大白菜,1.88
2026-07-02,大白菜,1.95
2026-07-03,大白菜,2.14
2026-07-04,大白菜,1.64
2026-07-05,大白菜,1.53
2026-07-06,大白菜,1.55
2026-07-07,大白菜,1.83
2026-07-08,大白菜,1.67
2026-07-09,大白菜,1.44
2026-07-10,大白菜,1.65
2026-04-12,土豆,2.54
2026-04-13,土豆,2.97
2026-04-14,土豆,2.44
2026-04-15,土豆,2.68
2026-04-16,土豆,2.74
2026-04-17,土豆,2.41
2026-04-18,土豆,3.12
2026-04-19,土豆,3.14
2026-04-20,土豆,3.06
2026-04-21,土豆,2.96
2026-04-22,土豆,2.49
2026-04-23,土豆,2.81
2026-04-24,土豆,2.78
2026-04-25,土豆,2.53
2026-04-26,土豆,2.68
2026-04-27,土豆,2.8
2026-04-28,土豆,3.26
2026-04-29,土豆,2.53
2026-04-30,土豆,2.47
2026-05-01,土豆,2.27
2026-05-02,土豆,1.52
2026-05-03,土豆,2.18
2026-05-04,土豆,2.19
2026-05-05,土豆,3.08
2026-05-06,土豆,2.09
2026-05-07,土豆,2.31
2026-05-08,土豆,2.22
2026-05-09,土豆,1.85
2026-05-10,土豆,2.78
2026-05-11,土豆,2.71
2026-05-12,土豆,2.8
2026-05-13,土豆,2.23
2026-05-14,土豆,3.16
2026-05-15,土豆,2.17
2026-05-16,土豆,2.95
2026-05-17,土豆,3.58
2026-05-18,土豆,2.39
2026-05-19,土豆,2.54
2026-05-20,土豆,2.75
2026-05-21,土豆,2.47
2026-05-22,土豆,2.01
2026-05-23,土豆,2.52
2026-05-24,土豆,2.0
2026-05-25,土豆,2.46
2026-05-26,土豆,1.82
2026-05-27,土豆,2.63
2026-05-28,土豆,1.64
2026-05-29,土豆,1.72
2026-05-30,土豆,2.05
2026-05-31,土豆,1.22
2026-06-01,土豆,1.72
2026-06-02,土豆,2.1
2026-06-03,土豆,1.01
2026-06-04,土豆,1.72
2026-06-05,土豆,1.8
2026-06-06,土豆,2.09
2026-06-07,土豆,1.44
2026-06-08,土豆,1.53
2026-06-09,土豆,2.37
2026-06-10,土豆,2.45
2026-06-11,土豆,2.59
2026-06-12,土豆,2.8
2026-06-13,土豆,2.58
2026-06-14,土豆,3.08
2026-06-15,土豆,3.24
2026-06-16,土豆,2.99
2026-06-17,土豆,4.06
2026-06-18,土豆,3.62
2026-06-19,土豆,3.06
2026-06-20,土豆,3.78
2026-06-21,土豆,3.17
2026-06-22,土豆,3.82
2026-06-23,土豆,3.91
2026-06-24,土豆,3.11
2026-06-25,土豆,3.7
2026-06-26,土豆,3.4
2026-06-27,土豆,3.46
2026-06-28,土豆,3.76
2026-06-29,土豆,2.86
2026-06-30,土豆,2.57
2026-07-01,土豆,2.43
2026-07-02,土豆,2.37
2026-07-03,土豆,2.58
2026-07-04,土豆,2.69
2026-07-05,土豆,2.62
2026-07-06,土豆,2.8
2026-07-07,土豆,2.48
2026-07-08,土豆,3.02
2026-07-09,土豆,2.38
2026-07-10,土豆,3.51
2026-04-12,西红柿,5.47
2026-04-13,西红柿,4.57
2026-04-14,西红柿,4.61
2026-04-15,西红柿,5.96
2026-04-16,西红柿,5.59
2026-04-17,西红柿,6.43
2026-04-18,西红柿,6.34
2026-04-19,西红柿,5.99
2026-04-20,西红柿,5.42
2026-04-21,西红柿,4.89
2026-04-22,西红柿,5.62
2026-04-23,西红柿,6.49
2026-04-24,西红柿,5.86
2026-04-25,西红柿,4.6
2026-04-26,西红柿,5.48
2026-04-27,西红柿,5.44
2026-04-28,西红柿,4.29
2026-04-29,西红柿,4.87
2026-04-30,西红柿,4.63
2026-05-01,西红柿,3.57
2026-05-02,西红柿,4.58
2026-05-03,西红柿,4.64
2026-05-04,西红柿,4.98
2026-05-05,西红柿,4.95
2026-05-06,西红柿,3.16
2026-05-07,西红柿,3.56
2026-05-08,西红柿,4.75
2026-05-09,西红柿,4.88
2026-05-10,西红柿,5.04
2026-05-11,西红柿,7.71
2026-05-12,西红柿,5.43
2026-05-13,西红柿,6.03
2026-05-14,西红柿,6.06
2026-05-15,西红柿,5.97
2026-05-16,西红柿,5.37
2026-05-17,西红柿,6.26
2026-05-18,西红柿,5.16
2026-05-19,西红柿,5.57
2026-05-20,西红柿,5.35
2026-05-21,西红柿,5.7
2026-05-22,西红柿,7.26
2026-05-23,西红柿,3.97
2026-05-24,西红柿,5.7
2026-05-25,西红柿,3.78
2026-05-26,西红柿,4.42
2026-05-27,西红柿,5.37
2026-05-28,西红柿,4.38
2026-05-29,西红柿,3.33
2026-05-30,西红柿,3.42
2026-05-31,西红柿,4.32
2026-06-01,西红柿,3.15
2026-06-02,西红柿,3.8
2026-06-03,西红柿,3.65
2026-06-04,西红柿,3.16
2026-06-05,西红柿,5.34
2026-06-06,西红柿,4.33
2026-06-07,西红柿,2.51
2026-06-08,西红柿,4.38
2026-06-09,西红柿,3.98
2026-06-10,西红柿,5.37
2026-06-11,西红柿,4.41
2026-06-12,西红柿,5.19
2026-06-13,西红柿,5.91
2026-06-14,西红柿,6.43
2026-06-15,西红柿,5.1
2026-06-16,西红柿,5.94
2026-06-17,西红柿,5.98
2026-06-18,西红柿,5.95
2026-06-19,西红柿,7.82
2026-06-20,西红柿,6.81
2026-06-21,西红柿,5.53
2026-06-22,西红柿,7.08
2026-06-23,西红柿,7.86
2026-06-24,西红柿,6.9
2026-06-25,西红柿,4.8
2026-06-26,西红柿,5.39
2026-06-27,西红柿,6.5
2026-06-28,西红柿,4.82
2026-06-29,西红柿,5.49
2026-06-30,西红柿,5.56
2026-07-01,西红柿,4.13
2026-07-02,西红柿,4.66
2026-07-03,西红柿,2.18
2026-07-04,西红柿,3.79
2026-07-05,西红柿,4.35
2026-07-06,西红柿,3.62
2026-07-07,西红柿,5.83
2026-07-08,西红柿,3.61
2026-07-09,西红柿,4.45
2026-07-10,西红柿,4.98
2026-04-12,黄瓜,4.26
2026-04-13,黄瓜,2.89
2026-04-14,黄瓜,4.4
2026-04-15,黄瓜,3.93
2026-04-16,黄瓜,3.52
2026-04-17,黄瓜,4.37
2026-04-18,黄瓜,4.31
2026-04-19,黄瓜,3.93
2026-04-20,黄瓜,4.29
2026-04-21,黄瓜,4.04
2026-04-22,黄瓜,4.25
2026-04-23,黄瓜,4.47
2026-04-24,黄瓜,4.86
2026-04-25,黄瓜,3.26
2026-04-26,黄瓜,4.9
2026-04-27,黄瓜,2.63
2026-04-28,黄瓜,3.43
2026-04-29,黄瓜,3.69
2026-04-30,黄瓜,3.41
2026-05-01,黄瓜,2.83
