date,product,price
2026-04-12,大白菜,1.77
2026-04-13,大白菜,2.29
2026-04-14,大白菜,2.34
2026-04-15,大白菜,2.83
2026-04-16,大白菜,2.45
2026-04-17,大白菜,2.73
2026-04-18,大白菜,2.51
2026-04-19,大白菜,2.34
2026-04-20,大白菜,2.67
2026-04-21,大白菜,2.63
2026-04-22,大白菜,2.7
2026-04-23,大白菜,2.34
2026-04-24,大白菜,2.46
2026-04-25,大白菜,2.36
2026-04-26,大白菜,2.46
2026-04-27,大白菜,2.34
2026-04-28,大白菜,2.35
2026-04-29,大白菜,1.76
2026-04-30,大白菜,2.35
2026-05-01,大白菜,1.99
2026-05-02,大白菜,2.16
2026-05-03,大白菜,2.13
2026-05-04,大白菜,2.01
2026-05-05,大白菜,1.84
2026-05-06,大白菜,1.74
2026-05-07,大白菜,2.06
2026-05-08,大白菜,2.02
2026-05-09,大白菜,2.43
2026-05-10,大白菜,2.18
2026-05-11,大白菜,2.08
2026-05-12,大白菜,2.57
2026-05-13,大白菜,2.39
2026-05-14,大白菜,2.2
2026-05-15,大白菜,2.43
2026-05-16,大白菜,2.38
2026-05-17,大白菜,2.97
2026-05-18,大白菜,2.46
2026-05-19,大白菜,2.6
2026-05-20,大白菜,2.66
2026-05-21,大白菜,2.62
2026-05-22,大白菜,2.39
2026-05-23,大白菜,2.48
2026-05-24,大白菜,2.34
2026-05-25,大白菜,2.19
2026-05-26,大白菜,2.41
2026-05-27,大白菜,2.27
2026-05-28,大白菜,1.98
2026-05-29,大白菜,2.27
2026-05-30,大白菜,1.84
2026-05-31,大白菜,2.08
2026-06-01,大白菜,2.05
2026-06-02,大白菜,2.02
2026-06-03,大白菜,1.98
2026-06-04,大白菜,1.75
2026-06-05,大白菜,1.78
2026-06-06,大白菜,2.06
2026-06-07,大白菜,2.16
2026-06-08,大白菜,2.0
2026-06-09,大白菜,1.88
2026-06-10,大白菜,2.13
2026-06-11,大白菜,2.17
2026-06-12,大白菜,2.4
2026-06-13,大白菜,2.32
2026-06-14,大白菜,2.24
2026-06-15,大白菜,2.35
2026-06-16,大白菜,2.21
2026-06-17,大白菜,2.61
2026-06-18,大白菜,2.45
2026-06-19,大白菜,2.44
2026-06-20,大白菜,2.7
2026-06-21,大白菜,2.4
2026-06-22,大白菜,2.3
2026-06-23,大白菜,2.24
2026-06-24,大白菜,2.34
2026-06-25,大白菜,2.26
2026-06-26,大白菜,2.3
2026-06-27,大白菜,2.16
2026-06-28,大白菜,2.11
2026-06-29,大白菜,2.12
2026-06-30,大白菜,1.99
2026-07-01,大白菜,2.15
2026-07-02,大白菜,1.97
2026-07-03,大白菜,2.05
2026-07-04,大白菜,1.83
2026-07-05,大白菜,1.87
2026-07-06,大白菜,2.02
2026-07-07,大白菜,1.86
2026-07-08,大白菜,2.17
2026-07-09,大白菜,2.17
2026-07-10,大白菜,2.26
2026-07-11,大白菜,2.35
2026-04-12,土豆,1.64
2026-04-13,土豆,1.51
2026-04-14,土豆,2.13
2026-04-15,土豆,1.9
2026-04-16,土豆,2.12
2026-04-17,土豆,1.79
2026-04-18,土豆,2.27
2026-04-19,土豆,1.9
2026-04-20,土豆,2.07
2026-04-21,土豆,2.02
2026-04-22,土豆,1.88
2026-04-23,土豆,1.93
2026-04-24,土豆,1.87
2026-04-25,土豆,1.87
2026-04-26,土豆,2.01
2026-04-27,土豆,1.67
2026-04-28,土豆,1.41
2026-04-29,土豆,1.54
2026-04-30,土豆,1.57
2026-05-01,土豆,1.45
2026-05-02,土豆,1.41
2026-05-03,土豆,1.44
2026-05-04,土豆,1.71
2026-05-05,土豆,1.44
2026-05-06,土豆,1.37
2026-05-07,土豆,1.76
2026-05-08,土豆,1.56
2026-05-09,土豆,1.61
2026-05-10,土豆,1.62
2026-05-11,土豆,1.77
2026-05-12,土豆,1.54
2026-05-13,土豆,1.71
2026-05-14,土豆,1.9
2026-05-15,土豆,1.79
2026-05-16,土豆,2.03
2026-05-17,土豆,1.79
2026-05-18,土豆,2.06
2026-05-19,土豆,1.86
2026-05-20,土豆,1.88
2026-05-21,土豆,2.27
2026-05-22,土豆,1.76
2026-05-23,土豆,1.94
2026-05-24,土豆,1.81
2026-05-25,土豆,1.89
2026-05-26,土豆,1.65
2026-05-27,土豆,1.99
2026-05-28,土豆,1.49
2026-05-29,土豆,1.58
2026-05-30,土豆,1.54
2026-05-31,土豆,1.38
2026-06-01,土豆,1.47
2026-06-02,土豆,1.3
2026-06-03,土豆,1.31
2026-06-04,土豆,1.35
2026-06-05,土豆,1.34
2026-06-06,土豆,1.54
2026-06-07,土豆,1.64
2026-06-08,土豆,1.51
2026-06-09,土豆,1.67
2026-06-10,土豆,1.7
2026-06-11,土豆,1.84
2026-06-12,土豆,2.06
2026-06-13,土豆,1.69
2026-06-14,土豆,1.7
2026-06-15,土豆,1.88
2026-06-16,土豆,2.19
2026-06-17,土豆,2.24
2026-06-18,土豆,1.82
2026-06-19,土豆,1.82
2026-06-20,土豆,2.16
2026-06-21,土豆,1.94
2026-06-22,土豆,2.04
2026-06-23,土豆,1.85
2026-06-24,土豆,1.78
2026-06-25,土豆,1.64
2026-06-26,土豆,1.7
2026-06-27,土豆,1.52
2026-06-28,土豆,1.58
2026-06-29,土豆,1.51
2026-06-30,土豆,1.38
2026-07-01,土豆,1.53
2026-07-02,土豆,1.61
2026-07-03,土豆,1.54
2026-07-04,土豆,1.58
2026-07-05,土豆,1.55
2026-07-06,土豆,1.51
2026-07-07,土豆,1.66
2026-07-08,土豆,1.54
2026-07-09,土豆,1.66
2026-07-10,土豆,1.67
2026-07-11,土豆,1.68
