date,product,price
2026-04-12,大白菜,2.16
2026-04-13,大白菜,2.29
2026-04-14,大白菜,2.28
2026-04-15,大白菜,2.28
2026-04-16,大白菜,2.46
2026-04-17,大白菜,2.68
2026-04-18,大白菜,2.33
2026-04-19,大白菜,2.53
2026-04-20,大白菜,2.31
2026-04-21,大白菜,2.54
2026-04-22,大白菜,2.64
2026-04-23,大白菜,2.62
2026-04-24,大白菜,2.53
2026-04-25,大白菜,2.29
2026-04-26,大白菜,2.62
2026-04-27,大白菜,2.09
2026-04-28,大白菜,2.31
2026-04-29,大白菜,1.96
2026-04-30,大白菜,2.02
2026-05-01,大白菜,1.93
2026-05-02,大白菜,2.17
2026-05-03,大白菜,2.22
2026-05-04,大白菜,1.67
2026-05-05,大白菜,1.81
2026-05-06,大白菜,1.8
2026-05-07,大白菜,2.09
2026-05-08,大白菜,1.85
2026-05-09,大白菜,2.22
2026-05-10,大白菜,2.32
2026-05-11,大白菜,1.9
2026-05-12,大白菜,2.3
2026-05-13,大白菜,2.17
2026-05-14,大白菜,2.41
2026-05-15,大白菜,2.47
2026-05-16,大白菜,2.41
2026-05-17,大白菜,2.29
2026-05-18,大白菜,2.41
2026-05-19,大白菜,2.89
2026-05-20,大白菜,2.77
2026-05-21,大白菜,2.57
2026-05-22,大白菜,2.43
2026-05-23,大白菜,2.65
2026-05-24,大白菜,2.49
2026-05-25,大白菜,2.18
2026-05-26,大白菜,2.36
2026-05-27,大白菜,2.28
2026-05-28,大白菜,2.35
2026-05-29,大白菜,1.99
2026-05-30,大白菜,1.94
2026-05-31,大白菜,2.47
2026-06-01,大白菜,1.65
2026-06-02,大白菜,1.76
2026-06-03,大白菜,2.04
2026-06-04,大白菜,2.1
2026-06-05,大白菜,2.15
2026-06-06,大白菜,2.43
2026-06-07,大白菜,2.49
2026-06-08,大白菜,1.89
2026-06-09,大白菜,2.21
2026-06-10,大白菜,2.03
2026-06-11,大白菜,2.48
2026-06-12,大白菜,2.31
2026-06-13,大白菜,2.44
2026-06-14,大白菜,2.51
2026-06-15,大白菜,2.66
2026-06-16,大白菜,2.47
2026-06-17,大白菜,2.43
2026-06-18,大白菜,2.69
2026-06-19,大白菜,2.8
2026-06-20,大白菜,2.52
2026-06-21,大白菜,2.4
2026-06-22,大白菜,2.47
2026-06-23,大白菜,2.32
2026-06-24,大白菜,2.23
2026-06-25,大白菜,2.44
2026-06-26,大白菜,2.34
2026-06-27,大白菜,2.24
2026-06-28,大白菜,2.18
2026-06-29,大白菜,2.27
2026-06-30,大白菜,2.3
2026-07-01,大白菜,2.06
2026-07-02,大白菜,2.07
2026-07-03,大白菜,2.16
2026-07-04,大白菜,2.02
2026-07-05,大白菜,1.71
2026-07-06,大白菜,2.04
2026-07-07,大白菜,2.06
2026-07-08,大白菜,2.29
2026-07-09,大白菜,2.13
2026-07-10,大白菜,1.96
2026-07-11,大白菜,2.04
2026-04-12,土豆,2.78
2026-04-13,土豆,2.68
2026-04-14,土豆,2.88
2026-04-15,土豆,2.77
2026-04-16,土豆,2.6
2026-04-17,土豆,3.08
2026-04-18,土豆,2.92
2026-04-19,土豆,2.67
2026-04-20,土豆,2.83
2026-04-21,土豆,2.97
2026-04-22,土豆,2.97
2026-04-23,土豆,2.77
2026-04-24,土豆,2.86
2026-04-25,土豆,2.59
2026-04-26,土豆,2.62
2026-04-27,土豆,2.6
2026-04-28,土豆,2.67
2026-04-29,土豆,2.29
2026-04-30,土豆,2.35
2026-05-01,土豆,2.19
2026-05-02,土豆,2.27
2026-05-03,土豆,2.38
2026-05-04,土豆,2.29
2026-05-05,土豆,2.15
2026-05-06,土豆,2.38
2026-05-07,土豆,2.12
2026-05-08,土豆,2.36
2026-05-09,土豆,2.23
2026-05-10,土豆,2.39
2026-05-11,土豆,2.4
2026-05-12,土豆,2.6
2026-05-13,土豆,2.59
2026-05-14,土豆,2.65
2026-05-15,土豆,2.69
2026-05-16,土豆,3.03
2026-05-17,土豆,2.65
2026-05-18,土豆,2.8
2026-05-19,土豆,2.88
2026-05-20,土豆,2.81
2026-05-21,土豆,2.91
2026-05-22,土豆,2.85
2026-05-23,土豆,2.65
2026-05-24,土豆,2.87
2026-05-25,土豆,2.83
2026-05-26,土豆,2.68
2026-05-27,土豆,2.51
2026-05-28,土豆,2.4
2026-05-29,土豆,2.48
2026-05-30,土豆,2.56
2026-05-31,土豆,2.18
2026-06-01,土豆,2.24
2026-06-02,土豆,2.47
2026-06-03,土豆,2.19
2026-06-04,土豆,2.15
2026-06-05,土豆,2.19
2026-06-06,土豆,2.33
2026-06-07,土豆,2.47
2026-06-08,土豆,2.03
2026-06-09,土豆,2.65
2026-06-10,土豆,2.69
2026-06-11,土豆,2.5
2026-06-12,土豆,2.39
2026-06-13,土豆,3.02
2026-06-14,土豆,2.86
2026-06-15,土豆,3.0
2026-06-16,土豆,2.78
2026-06-17,土豆,2.74
2026-06-18,土豆,2.71
2026-06-19,土豆,3.17
2026-06-20,土豆,2.87
2026-06-21,土豆,3.17
2026-06-22,土豆,2.69
2026-06-23,土豆,2.76
2026-06-24,土豆,2.76
2026-06-25,土豆,2.74
2026-06-26,土豆,2.66
2026-06-27,土豆,2.61
2026-06-28,土豆,2.51
2026-06-29,土豆,2.37
2026-06-30,土豆,2.27
2026-07-01,土豆,2.46
2026-07-02,土豆,2.4
2026-07-03,土豆,2.33
2026-07-04,土豆,2.35
2026-07-05,土豆,2.09
2026-07-06,土豆,2.52
2026-07-07,土豆,2.48
2026-07-08,土豆,2.35
2026-07-09,土豆,2.38
2026-07-10,土豆,2.03
2026-07-11,土豆,2.56
2026-04-12,黄瓜,3.32
2026-04-13,黄瓜,3.46
2026-04-14,黄瓜,3.4
2026-04-15,黄瓜,3.45
2026-04-16,黄瓜,3.51
2026-04-17,黄瓜,3.81
2026-04-18,黄瓜,3.8
2026-04-19,黄瓜,3.45
2026-04-20,黄瓜,3.76
2026-04-21,黄瓜,3.7
2026-04-22,黄瓜,3.6
2026-04-23,黄瓜,3.39
2026-04-24,黄瓜,3.29
2026-04-25,黄瓜,3.63
2026-04-26,黄瓜,3.63
2026-04-27,黄瓜,3.52
2026-04-28,黄瓜,3.28
2026-04-29,黄瓜,3.3
2026-04-30,黄瓜,3.17
2026-05-01,黄瓜,3.11
2026-05-02,黄瓜,3.18
2026-05-03,黄瓜,3.09
2026-05-04,黄瓜,2.98
2026-05-05,黄瓜,3.03
2026-05-06,黄瓜,2.94
2026-05-07,黄瓜,3.21
2026-05-08,黄瓜,3.3
2026-05-09,黄瓜,3.16
2026-05-10,黄瓜,3.32
2026-05-11,黄瓜,3.23
2026-05-12,黄瓜,3.43
2026-05-13,黄瓜,3.51
2026-05-14,黄瓜,3.76
2026-05-15,黄瓜,3.56
2026-05-16,黄瓜,3.53
2026-05-17,黄瓜,3.62
2026-05-18,黄瓜,3.98
2026-05-19,黄瓜,3.79
2026-05-20,黄瓜,3.58
2026-05-21,黄瓜,3.72
2026-05-22,黄瓜,3.62
2026-05-23,黄瓜,3.6
2026-05-24,黄瓜,3.53
2026-05-25,黄瓜,3.42
2026-05-26,黄瓜,3.72
2026-05-27,黄瓜,3.62
2026-05-28,黄瓜,3.4
2026-05-29,黄瓜,3.3
2026-05-30,黄瓜,2.99
2026-05-31,黄瓜,3.32
2026-06-01,黄瓜,3.15
2026-06-02,黄瓜,3.02
2026-06-03,黄瓜,3.23
2026-06-04,黄瓜,3.2
2026-06-05,黄瓜,3.16
2026-06-06,黄瓜,3.08
2026-06-07,黄瓜,3.26
2026-06-08,黄瓜,3.05
2026-06-09,黄瓜,3.15
2026-06-10,黄瓜,3.29
2026-06-11,黄瓜,3.71
2026-06-12,黄瓜,3.31
2026-06-13,黄瓜,3.51
2026-06-14,黄瓜,3.47
2026-06-15,黄瓜,3.63
2026-06-16,黄瓜,3.73
2026-06-17,黄瓜,3.71
2026-06-18,黄瓜,3.81
2026-06-19,黄瓜,3.69
2026-06-20,黄瓜,3.88
2026-06-21,黄瓜,3.73
2026-06-22,黄瓜,3.69
2026-06-23,黄瓜,3.55
2026-06-24,黄瓜,3.56
2026-06-25,黄瓜,3.62
2026-06-26,黄瓜,3.53
2026-06-27,黄瓜,3.63
2026-06-28,黄瓜,3.42
2026-06-29,黄瓜,3.24
2026-06-30,黄瓜,3.24
2026-07-01,黄瓜,3.25
2026-07-02,黄瓜,3.22
2026-07-03,黄瓜,2.96
2026-07-04,黄瓜,3.05
2026-07-05,黄瓜,3.36
2026-07-06,黄瓜,3.2
2026-07-07,黄瓜,3.14
2026-07-08,黄瓜,3.04
2026-07-09,黄瓜,3.06
2026-07-10,黄瓜,3.06
2026-07-11,黄瓜,3.44
2026-04-12,西红柿,2.79
2026-04-13,西红柿,2.79
2026-04-14,西红柿,2.9
2026-04-15,西红柿,2.79
2026-04-16,西红柿,2.68
2026-04-17,西红柿,3.16
2026-04-18,西红柿,2.92
2026-04-19,西红柿,3.0
2026-04-20,西红柿,3.49
2026-04-21,西红柿,2.97
2026-04-22,西红柿,3.03
2026-04-23,西红柿,2.76
2026-04-24,西红柿,3.08
2026-04-25,西红柿,2.86
2026-04-26,西红柿,2.71
2026-04-27,西红柿,2.78
2026-04-28,西红柿,2.7
2026-04-29,西红柿,2.57
2026-04-30,西红柿,2.21
2026-05-01,西红柿,2.55
2026-05-02,西红柿,2.27
2026-05-03,西红柿,2.13
2026-05-04,西红柿,2.38
2026-05-05,西红柿,2.05
2026-05-06,西红柿,2.45
2026-05-07,西红柿,2.36
2026-05-08,西红柿,2.63
2026-05-09,西红柿,2.47
2026-05-10,西红柿,2.56
2026-05-11,西红柿,2.75
2026-05-12,西红柿,2.72
2026-05-13,西红柿,2.55
2026-05-14,西红柿,2.63
2026-05-15,西红柿,2.89
2026-05-16,西红柿,2.84
2026-05-17,西红柿,2.82
2026-05-18,西红柿,3.0
2026-05-19,西红柿,2.58
2026-05-20,西红柿,2.91
2026-05-21,西红柿,2.78
2026-05-22,西红柿,3.09
2026-05-23,西红柿,2.95
2026-05-24,西红柿,2.87
2026-05-25,西红柿,3.05
2026-05-26,西红柿,2.84
2026-05-27,西红柿,2.65
2026-05-28,西红柿,2.56
2026-05-29,西红柿,2.67
2026-05-30,西红柿,2.47
2026-05-31,西红柿,2.35
2026-06-01,西红柿,2.26
2026-06-02,西红柿,2.53
2026-06-03,西红柿,2.23
2026-06-04,西红柿,2.41
2026-06-05,西红柿,2.41
2026-06-06,西红柿,2.17
2026-06-07,西红柿,2.79
2026-06-08,西红柿,2.66
2026-06-09,西红柿,2.44
2026-06-10,西红柿,2.56
2026-06-11,西红柿,2.65
2026-06-12,西红柿,2.59
2026-06-13,西红柿,2.82
2026-06-14,西红柿,2.7
2026-06-15,西红柿,3.23
2026-06-16,西红柿,3.14
2026-06-17,西红柿,2.91
2026-06-18,西红柿,3.15
2026-06-19,西红柿,2.91
2026-06-20,西红柿,2.86
2026-06-21,西红柿,3.15
2026-06-22,西红柿,2.82
2026-06-23,西红柿,2.94
2026-06-24,西红柿,2.79
2026-06-25,西红柿,2.96
2026-06-26,西红柿,2.6
2026-06-27,西红柿,2.55
2026-06-28,西红柿,2.48
2026-06-29,西红柿,2.74
2026-06-30,西红柿,2.67
2026-07-01,西红柿,2.32
2026-07-02,西红柿,2.35
2026-07-03,西红柿,2.26
2026-07-04,西红柿,2.48
2026-07-05,西红柿,2.02
2026-07-06,西红柿,2.3
2026-07-07,西红柿,2.56
2026-07-08,西红柿,2.34
2026-07-09,西红柿,2.7
2026-07-10,西红柿,2.56
2026-07-11,西红柿,2.61
2026-04-12,茄子,3.15
2026-04-13,茄子,3.49
2026-04-14,茄子,3.08
2026-04-15,茄子,3.52
2026-04-16,茄子,3.39
2026-04-17,茄子,3.7
2026-04-18,茄子,3.74
2026-04-19,茄子,3.53
2026-04-20,茄子,3.45
2026-04-21,茄子,3.21
2026-04-22,茄子,3.39
2026-04-23,茄子,3.28
2026-04-24,茄子,3.46
2026-04-25,茄子,3.05
2026-04-26,茄子,3.44
2026-04-27,茄子,3.07
2026-04-28,茄子,3.01
2026-04-29,茄子,3.13
2026-04-30,茄子,2.94
2026-05-01,茄子,2.91
2026-05-02,茄子,2.76
2026-05-03,茄子,2.78
2026-05-04,茄子,2.6
2026-05-05,茄子,3.06
2026-05-06,茄子,2.78
