date,name,price,unit
2026-07-07,大白菜,1.82,元/kg
2026-07-08,大白菜,1.78,元/kg
2026-07-09,大白菜,1.91,元/kg
2026-07-10,大白菜,1.86,元/kg
2026-07-11,大白菜,1.74,元/kg
2026-07-12,大白菜,1.69,元/kg
2026-07-13,大白菜,1.65,元/kg
2026-07-07,土豆,3.20,元/kg
2026-07-08,土豆,3.26,元/kg
2026-07-09,土豆,3.31,元/kg
2026-07-10,土豆,3.36,元/kg
2026-07-11,土豆,3.42,元/kg
2026-07-12,土豆,3.47,元/kg
2026-07-13,土豆,3.51,元/kg
2026-07-07,黄瓜,3.42,元/kg
2026-07-08,黄瓜,3.36,元/kg
2026-07-09,黄瓜,3.28,元/kg
2026-07-10,黄瓜,3.19,元/kg
2026-07-11,黄瓜,3.12,元/kg
2026-07-12,黄瓜,3.06,元/kg
2026-07-13,黄瓜,3.01,元/kg
